,GP,circuit,location,country,lap,position,lap_time_ms,code,name,lap_time
0,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,1,1,98603.0,VER,Max Verstappen,00:01:38.603000
1,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2,1,149163.0,VER,Max Verstappen,00:02:29.163000
2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,3,1,143247.0,VER,Max Verstappen,00:02:23.247000
3,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,4,1,140332.0,VER,Max Verstappen,00:02:20.332000
4,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,5,1,145691.0,VER,Max Verstappen,00:02:25.691000
5,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,6,1,140804.0,VER,Max Verstappen,00:02:20.804000
6,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,7,1,96303.0,VER,Max Verstappen,00:01:36.303000
7,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,8,1,92925.0,VER,Max Verstappen,00:01:32.925000
8,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,9,1,90953.0,VER,Max Verstappen,00:01:30.953000
9,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,10,1,90130.0,VER,Max Verstappen,00:01:30.130000
10,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,11,1,89168.0,VER,Max Verstappen,00:01:29.168000
11,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,12,1,88814.0,VER,Max Verstappen,00:01:28.814000
12,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,13,1,88119.0,VER,Max Verstappen,00:01:28.119000
13,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,14,1,87740.0,VER,Max Verstappen,00:01:27.740000
14,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,15,1,87059.0,VER,Max Verstappen,00:01:27.059000
15,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,16,1,86597.0,VER,Max Verstappen,00:01:26.597000
16,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,17,1,86605.0,VER,Max Verstappen,00:01:26.605000
17,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,18,1,87002.0,VER,Max Verstappen,00:01:27.002000
18,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,19,1,87068.0,VER,Max Verstappen,00:01:27.068000
19,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,20,1,87097.0,VER,Max Verstappen,00:01:27.097000
20,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,21,1,88626.0,VER,Max Verstappen,00:01:28.626000
21,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,22,1,88257.0,VER,Max Verstappen,00:01:28.257000
22,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,23,1,89532.0,VER,Max Verstappen,00:01:29.532000
23,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,24,1,89794.0,VER,Max Verstappen,00:01:29.794000
24,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,25,1,88967.0,VER,Max Verstappen,00:01:28.967000
25,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,26,1,88182.0,VER,Max Verstappen,00:01:28.182000
26,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,27,2,121545.0,VER,Max Verstappen,00:02:01.545000
27,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,28,3,111252.0,VER,Max Verstappen,00:01:51.252000
28,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,29,1,84169.0,VER,Max Verstappen,00:01:24.169000
29,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,30,1,86433.0,VER,Max Verstappen,00:01:26.433000
